from,to
TH,VFB
TH,PV
TH,NZ
TH,FCB
TH,AV
TH,F
TH,DAF
OS,FIFA
OS,VFLW
OS,KCM
OS,GL
OS,RB
CV,IH
CV,MT
CV,RB
CV,MVV
CV,FCPF
WP,DAG
WP,DTAG
WP,SWM
WP,MFT
WP,MBAG
RA,DFB
RA,HEV
HJ,KSE
FR,MBAG
FR,DAG
BS,FCCG
BS,MVV
BS,RB
